"keys","ko","en"
"탄창 스프링을 사용한 빠른 교체용 탄창입니다.","탄창 스프링을 사용한 빠른 교체용 탄창입니다.","A fast-swap magazine built on a magazine spring."
"적의 주의를 유도하는 전술 보조공구입니다.","적의 주의를 유도하는 전술 보조공구입니다.","A tactical aid that pulls enemy attention."
"AK 정밀 단발 리시버","AK 정밀 단발 리시버","AK Precision Receiver"
"AK의 발사 특성을 바꾸는 특수 전술 모듈입니다.","AK의 발사 특성을 바꾸는 특수 전술 모듈입니다.","A special tactical module that changes how the AK fires."
"초반 거지런과 최후의 보루용 권총.","초반 거지런과 최후의 보루용 권총.","A pistol for early scrap runs and last stands."
"기동전과 좀비 소탕에 강한 기관단총.","기동전과 좀비 소탕에 강한 기관단총.","An SMG that shines in running fights and zombie sweeps."
"시작 소총. 잃을 일은 없지만, 혹시 맨손이라면 여기서 다시 만든다.","시작 소총. 잃을 일은 없지만, 혹시 맨손이라면 여기서 다시 만든다.","Your starting rifle. You never lose it, but if you are empty-handed, rebuild it here."
"장전 중 무방비가 되지만 초근접 저지력이 강한 산탄총.","장전 중 무방비가 되지만 초근접 저지력이 강한 산탄총.","A shotgun that leaves you wide open while reloading, but stops anything up close."
"6발 튜브 탄창 산탄총. 두 발 쏘고 숨을 일이 없다. 첫 제작 시 참치 헌터 강화의 60%를 이어받습니다.","6발 튜브 탄창 산탄총. 두 발 쏘고 숨을 일이 없다. 첫 제작 시 참치 헌터 강화의 60%를 이어받습니다.","A 6-round tube-fed shotgun. No more firing twice and hiding. The first build carries over 60% of your Tuna Hunter enhancement."
"AK를 손본 개조 소총. 40발 탄창, 더 묵직하고 덜 튄다. 첫 제작 시 AK-47 강화의 60%를 이어받습니다.","AK를 손본 개조 소총. 40발 탄창, 더 묵직하고 덜 튄다. 첫 제작 시 AK-47 강화의 60%를 이어받습니다.","A worked-over AK. 40-round mag, heavier, less climb. The first build carries over 60% of your AK-47 enhancement."
"용산 봉쇄선의 군용 전투소총. 관통 2, 안정된 반동. 첫 제작 시 AKM(또는 AK) 강화의 60%를 이어받습니다.","용산 봉쇄선의 군용 전투소총. 관통 2, 안정된 반동. 첫 제작 시 AKM(또는 AK) 강화의 60%를 이어받습니다.","A military battle rifle from the Yongsan cordon. Penetration 2, steady recoil. The first build carries over 60% of your AKM (or AK) enhancement."
"대인 지뢰 x3","대인 지뢰 x3","Anti-personnel Mines x3"
"재생 감시포탑","재생 감시포탑","Salvaged Sentry Turret"
"로켓 발사기 (3발)","로켓 발사기 (3발)","Rocket Launcher (3 shots)"
"호위 드론","호위 드론","Escort Drone"
"보급 카트","보급 카트","Supply Cart"
"타격 드론","타격 드론","Strike Drone"
"임시 총기 수리","임시 총기 수리","Field Weapon Repair"
"장착 총기의 내구도를 즉시 조금 회복합니다.","장착 총기의 내구도를 즉시 조금 회복합니다.","Immediately restores a little durability on your equipped weapon."
"장착 총기를 작업대에 맡겨 쉘터에 없는 동안에도 내구도를 자동 회복합니다.","장착 총기를 작업대에 맡겨 쉘터에 없는 동안에도 내구도를 자동 회복합니다.","Leave your weapon at the workbench and it keeps recovering durability while you are away."
"작업대 시설 확장","작업대 시설 확장","Workbench Expansion"
"작업대 레벨을 높여 상위 총기와 특수 전술 모듈 제작을 해금합니다.","작업대 레벨을 높여 상위 총기와 특수 전술 모듈 제작을 해금합니다.","Raises the workbench level, unlocking higher-tier weapons and special tactical modules."
"장인 뽑기","장인 뽑기","Artisan Draw"
"장착 무기 영구 강화","장착 무기 영구 강화","Permanent weapon enhancement"
"장착 중인 무기에 고철을 투자해 +99까지 피해와 안정성을 영구 강화합니다. +10·+20·…에서는 돌파가 필요합니다.","장착 중인 무기에 고철을 투자해 +99까지 피해와 안정성을 영구 강화합니다. +10·+20·…에서는 돌파가 필요합니다.","Sink scrap into your equipped weapon to permanently raise damage and stability up to +99. A breakthrough is required at +10, +20 and so on."
"강화","강화","Enhance"
"무기","무기","Weapons"
"방어구","방어구","Armor"
"중장비","중장비","Heavy"
"더블 배럴 산탄총","더블 배럴 산탄총","Double Barrel Shotgun"
"펌프 산탄총","펌프 산탄총","Pump Shotgun"
"9mm 철갑탄","9mm 철갑탄","9mm AP"
".45 ACP 보통탄",".45 ACP 보통탄",".45 ACP Ball"
".45 ACP 철갑탄",".45 ACP 철갑탄",".45 ACP AP"
"7.62mm 철갑탄","7.62mm 철갑탄","7.62mm AP"
"12게이지 슬러그","12게이지 슬러그","12 Gauge Slug"
"AK 정밀 리시버","AK 정밀 리시버","AK Precision Receiver"
"봉쇄구역 키카드","봉쇄구역 키카드","Sealed Zone Keycard"
"자원","자원","Resources"
"생산","생산","Scrap"
"스크래핑","스크래핑","Scratching"
"훈련","훈련","Training"
"잠김 · 스크래핑 생산기를 해금해야 합니다.","잠김 · 스크래핑 생산기를 해금해야 합니다.","Locked · unlock the scratching rig first."
"사자의 계약","사자의 계약","the lion's deal"
"재","재","Ash"
"그을음","그을음","Soot"
"안개","안개","Fog"
"UI 크기","UI 크기","UI scale"
"메뉴와 HUD 전체 크기","메뉴와 HUD 전체 크기","Overall size of menus and HUD"
"전투 알림 크기","전투 알림 크기","Combat text size"
"피해량과 전투 경고 글자","피해량과 전투 경고 글자","Damage numbers and combat warnings"
"화면 흔들림","화면 흔들림","Screen shake"
"피격·암살·보스 연출","피격·암살·보스 연출","Hits, takedowns and boss beats"
"피격 번쩍임","피격 번쩍임","Hit flash"
"캐릭터와 화면의 순간 섬광","캐릭터와 화면의 순간 섬광","Momentary flash on the character and screen"
"화면 가장자리 효과","화면 가장자리 효과","Screen edge effect"
"피격 시 붉은 비네팅 강도","피격 시 붉은 비네팅 강도","Strength of the red vignette when hit"
"피격 화면 효과","피격 화면 효과","Hit feedback"
"붉은 화면·방향 표시·피격 흔들림 (0%면 끔)","붉은 화면·방향 표시·피격 흔들림 (0%면 끔)","Red screen, direction arc and hit shake (0% turns it off)"
"최소 밝기","최소 밝기","Minimum brightness"
"밤과 실내의 가장 어두운 정도","밤과 실내의 가장 어두운 정도","How dark night and interiors get"
"조준 보정","조준 보정","Aim assist"
"모바일과 패드의 원뿔 조준 보정","모바일과 패드의 원뿔 조준 보정","Cone aim assist on mobile and gamepad"
"전체 음량","전체 음량","Master volume"
"모든 소리의 기준 음량","모든 소리의 기준 음량","Baseline level for every sound"
"효과음","효과음","Sound effects"
"총성·피격·장전·경보","총성·피격·장전·경보","Gunfire, hits, reloads, alarms"
"UI 소리","UI 소리","UI sound"
"버튼 탭·알림·타자기","버튼 탭·알림·타자기","Button taps, alerts, typewriter"
"피해량 숫자 표시","피해량 숫자 표시","Show damage numbers"
"탄약이 있으면 자동 재장전","탄약이 있으면 자동 재장전","Auto-reload when ammo is left"
"모바일 햅틱","모바일 햅틱","Mobile haptics"
"모바일 저전력 모드","모바일 저전력 모드","Mobile battery saver"
"UI 셰이더 효과 (블러·노이즈·입자)","UI 셰이더 효과 (블러·노이즈·입자)","UI shader effects (blur, noise, particles)"
"액티브 안내 (화살표로 가리키는 튜토리얼)","액티브 안내 (화살표로 가리키는 튜토리얼)","Active guidance (tutorial that points with an arrow)"
"안내 다시 보기","안내 다시 보기","Replay guidance"
"끝낸 안내를 전부 되돌려 처음부터 다시 가리킵니다.","끝낸 안내를 전부 되돌려 처음부터 다시 가리킵니다.","Rewinds every finished tip so guidance points again from the start."
"저장 데이터 초기화","저장 데이터 초기화","Erase save data"
"주민·창고·재화·장비와 모든 진행이 사라지고 오프닝부터 다시 시작합니다.","주민·창고·재화·장비와 모든 진행이 사라지고 오프닝부터 다시 시작합니다.","Residents, storage, currency, gear and all progress are gone; you start again from the opening."
"정말 초기화합니까? 모든 진행이 사라집니다.","정말 초기화합니까? 모든 진행이 사라집니다.","Really erase everything? All progress will be gone."
"쉘터 전체 해금 (테스트)","쉘터 전체 해금 (테스트)","Unlock whole shelter (test)"
"모든 시설을 즉시 건설하고 주민을 다섯 명까지 채웁니다.","모든 시설을 즉시 건설하고 주민을 다섯 명까지 채웁니다.","Builds every facility at once and fills you up to five residents."
"모든 시설을 즉시 해금합니까? 진행 순서가 건너뛰어집니다.","모든 시설을 즉시 해금합니까? 진행 순서가 건너뛰어집니다.","Unlock every facility now? This skips the progression order."
"해금","해금","Unlock"
"사자의 첫 계약","사자의 첫 계약","the lion's first deal"
"사자의 두 번째 계약","사자의 두 번째 계약","the lion's second deal"
"사자의 계약 진행","사자의 계약 진행","the lion's deal moves on"
"첫 출정에서 복귀","첫 출정에서 복귀","you return from your first sortie"
"급탄","급탄","Feed"
"장전 속도","장전 속도","Reload speed"
"안정","안정","Stability"
"반동·탄퍼짐","반동·탄퍼짐","Recoil and spread"
"정밀","정밀","Precision"
"사거리·치명타","사거리·치명타","Range and crit"
"관통 +1","관통 +1","Penetration +1"
"탄환이 적 하나를 더 꿰뚫는다.","탄환이 적 하나를 더 꿰뚫는다.","Rounds punch through one more enemy."
"탄창 +25% · 장전 −15%","탄창 +25% · 장전 −15%","Mag +25% · Reload -15%"
"장탄수가 늘고 장전이 빨라진다.","장탄수가 늘고 장전이 빨라진다.","Bigger magazine, faster reload."
"엘리트·보스 피해 +20%","엘리트·보스 피해 +20%","Elite and boss damage +20%"
"일반 적에게는 적용되지 않는다.","일반 적에게는 적용되지 않는다.","Does not apply to regular enemies."
"처치 시 탄약 10% 환급 · 내구 소모 0","처치 시 탄약 10% 환급 · 내구 소모 0","10% ammo refund on kill · no durability loss"
"적을 쓰러뜨릴 때마다 탄창의 10%가 예비탄으로 돌아오고, 사격으로 내구도가 닳지 않는다.","적을 쓰러뜨릴 때마다 탄창의 10%가 예비탄으로 돌아오고, 사격으로 내구도가 닳지 않는다.","Every kill returns 10% of the magazine to reserve, and firing no longer wears the weapon."
"넉백 저항 50% (몸 방어구)","넉백 저항 50% (몸 방어구)","Knockback resist 50% (body armor)"
"피격 밀림이 절반으로 준다.","피격 밀림이 절반으로 준다.","Being shoved by a hit is halved."
"피격 후 1.5초 추가 피해 −20%","피격 후 1.5초 추가 피해 −20%","Damage taken -20% for 1.5s after a hit"
"연타를 맞을 때 뒤이은 피해가 줄어든다.","연타를 맞을 때 뒤이은 피해가 줄어든다.","Follow-up hits in a combo land softer."
"이동 속도 +4%","이동 속도 +4%","Move speed +4%"
"무게가 몸에 익는다. 걸음이 빨라진다.","무게가 몸에 익는다. 걸음이 빨라진다.","The weight becomes yours. You walk faster."
"시큐어 슬롯 +1","시큐어 슬롯 +1","Secure slot +1"
"죽어도 지키는 칸이 하나 늘어난다.","죽어도 지키는 칸이 하나 늘어난다.","One more slot survives your death."
"저장 후 종료","저장 후 종료","Save and Quit"
"임무 완료","임무 완료","Mission Complete"
"돌발 사건","돌발 사건","Incident"
"권총","권총","Pistol"
"기관단총","기관단총","SMG"
"소총","소총","Rifle"
"산탄총","산탄총","Shotgun"
